invoice,customer,issue_date,due_date,amount_aed
INV-1200,Fujairah Logistics,2026-08-25,2026-10-24,6574
INV-1201,Desert Rose Clinics,2026-09-01,2026-10-16,7019
INV-1202,Ajman Foods Co,2026-09-09,2026-10-09,36428
INV-1203,Sharjah Textiles FZE,2026-08-14,2026-09-13,36060
INV-1204,Emirates Steel Fabrication,2026-08-29,2026-09-28,7090
INV-1205,Emirates Steel Fabrication,2026-07-25,2026-08-24,18047
INV-1206,Desert Rose Clinics,2026-08-27,2026-10-11,36147
INV-1207,Desert Rose Clinics,2026-08-29,2026-10-13,12605
INV-1208,Emirates Steel Fabrication,2026-08-20,2026-10-04,10360
INV-1209,Sharjah Textiles FZE,2026-09-06,2026-10-06,44696
INV-1210,Desert Rose Clinics,2026-07-21,2026-09-04,44599
INV-1211,Nordic Imports AB,2026-07-29,2026-09-12,18813
INV-1212,Gulf Marine Services,2026-08-13,2026-09-12,23037
INV-1213,Nordic Imports AB,2026-08-01,2026-09-30,23123
INV-1214,Sharjah Textiles FZE,2026-08-29,2026-10-28,13275
INV-1215,Fujairah Logistics,2026-08-25,2026-10-24,36040
INV-1216,Sharjah Textiles FZE,2026-08-04,2026-09-18,28608
INV-1217,Nordic Imports AB,2026-07-17,2026-08-16,10076
INV-1218,Nordic Imports AB,2026-09-05,2026-10-05,23162
INV-1219,Emirates Steel Fabrication,2026-07-18,2026-09-01,36684
INV-1220,Fujairah Logistics,2026-09-11,2026-11-10,28172
INV-1221,Emirates Steel Fabrication,2026-08-30,2026-10-29,6723
INV-1222,RAK Ceramics Distribution,2026-08-28,2026-09-27,36400
INV-1223,Nordic Imports AB,2026-09-03,2026-10-03,44411
INV-1224,Desert Rose Clinics,2026-08-09,2026-09-08,36884
INV-1225,Desert Rose Clinics,2026-08-09,2026-10-08,28699
INV-1226,Blue Coast Cafe,2026-08-15,2026-09-14,9980
INV-1227,Gulf Marine Services,2026-08-15,2026-09-14,6996
INV-1228,Emirates Steel Fabrication,2026-08-21,2026-10-05,22504
INV-1229,Gulf Marine Services,2026-07-22,2026-09-05,28128
INV-1230,Desert Rose Clinics,2026-09-07,2026-11-06,36407
INV-1231,Blue Coast Cafe,2026-07-25,2026-08-24,44649
INV-1232,Blue Coast Cafe,2026-09-06,2026-10-06,10013
INV-1233,Nordic Imports AB,2026-08-24,2026-09-23,28615
INV-1234,Al Noor Trading LLC,2026-08-31,2026-09-30,23488
INV-1235,Sharjah Textiles FZE,2026-07-29,2026-08-28,10695
INV-1236,Ajman Foods Co,2026-07-27,2026-08-26,22855
INV-1237,Emirates Steel Fabrication,2026-07-29,2026-09-27,9918
INV-1238,Nordic Imports AB,2026-07-16,2026-09-14,44319
INV-1239,Sharjah Textiles FZE,2026-08-26,2026-09-25,28758
INV-1240,RAK Ceramics Distribution,2026-07-14,2026-08-13,6710
INV-1241,Desert Rose Clinics,2026-07-29,2026-08-28,7276
INV-1242,Desert Rose Clinics,2026-08-06,2026-09-05,23030
INV-1243,Fujairah Logistics,2026-08-23,2026-10-07,18545
INV-1244,Desert Rose Clinics,2026-07-11,2026-08-25,18627
INV-1245,Ajman Foods Co,2026-08-14,2026-10-13,18204
INV-1246,Desert Rose Clinics,2026-07-12,2026-08-26,6528
INV-1247,RAK Ceramics Distribution,2026-07-15,2026-08-29,18709
